division,title_fight,method,finish_round,match_time_sec,total_rounds,r_name,r_wins,r_losses,r_draws,r_height,r_weight,r_reach,r_stance,r_dob,r_splm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_avg_acc,r_td_def,r_sub_avg,b_name,b_wins,b_losses,b_draws,b_height,b_weight,b_reach,b_stance,b_dob,b_splm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_avg_acc,b_td_def,b_sub_avg,winner
welterweight,0,Decision - Split,3,300,3,Georges St-Pierre,26,2,0,180.34,83.91,193.04,Orthodox,1981-05-19,3.78,53,1.4,72,4.16,74,83,1.1,BJ Penn,16,14,2,175.26,70.31,177.8,Orthodox,1978-12-13,2.76,48,3.2,56,1.19,55,74,0.5,Georges St-Pierre
lightweight,0,KO/TKO,1,97,3,Melvin Guillard,32,18,2,175.26,70.31,180.34,Orthodox,1983-03-30,2.96,40,1.85,66,1.3,63,61,0.2,Rick Davis,3,1,1,175.26,70.31,,Orthodox,,3.09,50,6.19,64,0,0,0,0,Melvin Guillard
lightweight,0,Submission,2,112,3,Mark Hominick,20,12,0,172.72,65.77,172.72,Orthodox,1982-07-22,4.08,42,4.18,69,0.25,66,71,0.9,Yves Edwards,42,22,1,175.26,70.31,185.42,Southpaw,1976-09-30,2.91,42,2.34,66,0.76,53,69,0.7,Mark Hominick
light heavyweight,0,Submission,1,114,3,Jason Lambert,26,13,0,190.5,83.91,190.5,Orthodox,1975-06-03,3.21,58,1.84,50,1.35,36,28,2.4,Rob MacDonald,5,4,0,190.5,92.99,198.12,Orthodox,1978-09-05,1.8,50,2.04,46,7.19,80,80,5.4,Jason Lambert
middleweight,0,Decision - Unanimous,3,300,3,Nate Marquardt,35,19,2,182.88,83.91,187.96,Orthodox,1979-04-20,2.71,49,2.32,55,1.87,51,70,0.8,Joe Doerksen,51,16,0,182.88,83.91,190.5,Orthodox,1977-10-09,1.43,42,2.79,50,2.02,33,33,2.3,Nate Marquardt
lightweight,0,Decision - Split,3,300,3,Sam Stout,20,12,1,175.26,70.31,177.8,Orthodox,1984-04-23,4.17,28,4.08,57,0.63,38,77,0.1,Spencer Fisher,24,9,0,170.18,70.31,172.72,Southpaw,1976-05-09,3.17,43,3.03,64,0.67,30,60,0.8,Sam Stout
light heavyweight,0,Decision - Unanimous,3,300,3,Stephan Bonnar,15,9,0,193.04,92.99,200.66,Orthodox,1977-04-04,2.76,38,3.01,52,1.32,40,60,1,Keith Jardine,17,11,2,187.96,83.91,193.04,Orthodox,1975-10-31,3.25,36,2.98,59,1.18,45,62,0.7,Stephan Bonnar
welterweight,0,Decision - Unanimous,3,300,3,Josh Neer,36,16,1,180.34,77.11,182.88,Orthodox,1983-03-24,3.29,46,3.63,58,1.09,34,46,1.3,Joe Stevenson,33,16,0,170.18,65.77,177.8,Orthodox,1982-06-15,2.05,44,2.44,60,2.75,44,39,2.2,Josh Neer
middleweight,0,Decision - Unanimous,3,300,3,Chris Leben,22,11,0,180.34,83.91,185.42,Southpaw,1980-07-21,2.87,42,2.87,52,1.14,41,53,0.8,Luigi Fioravanti,26,15,0,172.72,77.11,177.8,Orthodox,1981-01-22,2.23,42,2.21,69,3.76,63,67,0.9,Chris Leben
welterweight,0,Submission,2,297,3,Jon Fitch,30,7,1,182.88,77.11,187.96,Orthodox,1978-02-24,2.61,50,1.65,54,3.6,51,56,0.8,Joshua Burkman,28,16,0,177.8,77.11,182.88,Orthodox,1980-04-10,2.69,43,3.13,51,2.53,36,72,0.3,Jon Fitch
heavyweight,0,KO/TKO,3,119,3,Tom Murphy,8,0,0,187.96,102.97,,Southpaw,1974-11-19,2.5,71,0.17,84,7.51,85,0,2.5,Icho Larenas,6,5,0,190.5,106.59,,Orthodox,1980-03-12,0.17,15,2.5,28,0,0,14,0,Tom Murphy
light heavyweight,0,Decision - Split,3,300,3,Rashad Evans,19,8,1,182.88,92.99,190.5,Orthodox,1979-09-25,2.14,37,2.42,63,2.98,44,73,0,Sam Hoger,10,4,0,187.96,92.99,,Orthodox,1980-06-28,1.07,25,2.25,57,1.12,38,29,1.3,Rashad Evans
welterweight,0,Decision - Unanimous,3,300,3,Luke Cummo,6,6,0,182.88,77.11,187.96,Orthodox,1980-04-27,1.74,43,1.5,59,0.89,55,42,1.4,Jason Von Flue,14,12,1,182.88,77.11,,Orthodox,1975-08-01,1.89,36,3.23,52,0.62,16,58,1.5,Luke Cummo
heavyweight,0,Submission,3,217,3,Dan Christison,20,7,0,203.2,120.2,,Orthodox,1972-04-26,4.23,51,3.88,54,0,0,37,1.1,Brad Imes,13,7,0,200.66,120.2,,Orthodox,1977-03-13,2.73,31,4.24,49,1.72,71,0,1,Dan Christison
welterweight,0,Submission,1,209,3,Josh Koscheck,17,11,0,177.8,77.11,185.42,Orthodox,1977-11-30,1.79,36,2.27,63,2.46,48,64,0.4,Ansar Chalangov,14,5,0,175.26,77.11,,Orthodox,1979-10-30,0.68,66,1.69,54,0,0,0,7.6,Josh Koscheck
middleweight,0,Decision - Unanimous,3,300,3,Chael Sonnen,29,15,1,185.42,92.99,185.42,Southpaw,1977-04-03,3.08,43,1.1,62,3.81,59,66,0.4,Trevor Prangley,34,11,2,185.42,83.91,190.5,Orthodox,1972-08-24,2.59,60,2.02,48,3.38,55,74,1,Chael Sonnen
heavyweight,0,KO/TKO,1,250,3,Marcio Cruz,8,3,0,193.04,105.23,,Orthodox,1978-04-24,2.92,46,1.51,68,0.53,7,37,1.6,Frank Mir,18,11,0,190.5,119.75,200.66,Southpaw,1979-05-24,2.18,47,3.84,38,2.02,40,54,2,Marcio Cruz
heavyweight,0,KO/TKO,1,85,3,Brandon Vera,15,7,0,190.5,104.33,198.12,Orthodox,1977-10-10,3.03,56,2.81,52,0.7,53,59,0.2,Justin Eilers,19,7,1,185.42,106.59,,Orthodox,1978-06-28,2.86,43,5.66,49,0.82,25,50,0,Brandon Vera
light heavyweight,1,KO/TKO,2,88,5,Chuck Liddell,21,8,0,187.96,92.99,193.04,Orthodox,1969-12-17,2.97,35,2.71,56,0.44,75,81,0,Randy Couture,19,11,0,185.42,92.99,190.5,Orthodox,1963-06-22,2.85,57,1.53,59,2.78,46,58,0.5,Chuck Liddell
heavyweight,0,KO/TKO,2,147,3,Paul Buentello,35,17,0,187.96,111.13,195.58,Orthodox,1974-01-16,3.29,45,3.83,52,0.19,33,39,0.4,Gilbert Aldana,6,2,0,185.42,113.4,,Orthodox,1977-08-25,2.91,54,6.26,26,2.57,40,33,0,Paul Buentello
welterweight,0,Decision - Unanimous,3,300,3,Joe Riggs,44,17,0,182.88,83.91,177.8,Southpaw,1982-09-23,2.41,51,1.69,57,2.45,55,62,0.6,Nick Diaz,26,10,0,185.42,77.11,193.04,Southpaw,1983-08-02,5.71,42,3.84,59,1.28,32,60,1,Joe Riggs
light heavyweight,0,Submission,1,141,3,Renato Sobral,37,11,0,185.42,92.99,190.5,Orthodox,1975-09-07,2.23,45,1.53,57,2.48,42,65,2.6,Mike van Arsdale,8,5,0,187.96,92.99,,Switch,1965-06-20,1.52,41,1.91,41,1.06,14,37,0,Renato Sobral
light heavyweight,0,Decision - Unanimous,3,300,3,Alessio Sakara,19,11,0,182.88,83.91,182.88,Orthodox,1981-09-02,3.96,47,2.8,59,2.18,78,62,0,Elvis Sinosic,7,11,2,190.5,92.99,195.58,Orthodox,1971-02-13,1.13,37,4.6,53,0,0,0,1.2,Alessio Sakara
heavyweight,0,Submission,1,275,3,Jeff Monson,60,26,1,175.26,112.04,187.96,Orthodox,1971-01-18,0.97,30,2.87,59,1.06,12,66,0.7,Branden Lee Hinkle,17,11,0,190.5,106.59,,Orthodox,1973-07-29,2.61,69,3.91,26,4.34,57,66,4.3,Jeff Monson
heavyweight,1,KO/TKO,1,163,5,Tim Sylvia,31,10,0,203.2,120.2,203.2,Orthodox,1976-03-05,4.23,41,2.61,61,0.11,100,75,0.1,Andrei Arlovski,34,24,0,190.5,108.86,195.58,Orthodox,1979-02-04,3.82,45,3.22,57,0.37,35,76,0.2,Tim Sylvia
light heavyweight,0,Decision - Unanimous,3,300,3,Keith Jardine,17,11,2,187.96,83.91,193.04,Orthodox,1975-10-31,3.25,36,2.98,59,1.18,45,62,0.7,Mike Whitehead,27,8,0,185.42,92.99,,Orthodox,1981-06-29,1.62,33,2.36,59,3.59,43,77,0.3,Keith Jardine
middleweight,0,Submission,1,194,3,Evan Tanner,32,8,0,182.88,83.91,187.96,Orthodox,1971-02-11,3.05,59,2.64,56,2.55,43,25,1.3,Justin Levens,10,7,0,180.34,83.91,,Orthodox,1980-04-18,1.24,47,3.15,37,1.69,50,33,5.1,Evan Tanner
light heavyweight,0,Decision - Split,3,300,3,Tito Ortiz,19,12,1,190.5,92.99,187.96,Orthodox,1975-01-23,2.59,46,2.88,60,2.47,35,54,0.6,Forrest Griffin,19,7,0,190.5,92.99,195.58,Orthodox,1979-03-16,4.38,36,2.81,61,1.05,48,57,0.7,Tito Ortiz
welterweight,0,Decision - Unanimous,3,300,3,Sean Sherk,36,4,1,167.64,70.31,170.18,Orthodox,1973-08-05,2.17,35,2.71,55,4.09,46,56,0.4,Nick Diaz,26,10,0,185.42,77.11,193.04,Southpaw,1983-08-02,5.71,42,3.84,59,1.28,32,60,1,Sean Sherk
heavyweight,0,Decision - Split,3,300,3,Jeff Monson,60,26,1,175.26,112.04,187.96,Orthodox,1971-01-18,0.97,30,2.87,59,1.06,12,66,0.7,Marcio Cruz,8,3,0,193.04,105.23,,Orthodox,1978-04-24,2.92,46,1.51,68,0.53,7,37,1.6,Jeff Monson
welterweight,0,KO/TKO,1,284,3,Karo Parisyan,24,11,0,177.8,77.11,182.88,Orthodox,1982-08-28,2.49,41,2.19,58,5.27,59,59,1,Nick Thompson,38,14,1,185.42,77.11,187.96,Orthodox,1981-06-23,1.87,42,1.8,49,1.06,100,35,2.6,Karo Parisyan
light heavyweight,0,KO/TKO,2,157,3,Jason Lambert,26,13,0,190.5,83.91,190.5,Orthodox,1975-06-03,3.21,58,1.84,50,1.35,36,28,2.4,Terry Martin,23,11,0,172.72,83.91,180.34,Orthodox,1980-10-10,2.82,43,3.13,54,3.1,42,92,0,Jason Lambert
welterweight,0,Submission,1,67,3,Joshua Burkman,28,16,0,177.8,77.11,182.88,Orthodox,1980-04-10,2.69,43,3.13,51,2.53,36,72,0.3,Drew Fickett,42,21,0,177.8,70.31,177.8,Orthodox,1979-12-14,2.33,41,2.29,57,1.3,35,30,2.2,Joshua Burkman
welterweight,0,KO/TKO,1,174,3,Thiago Alves,23,15,0,175.26,77.11,177.8,Orthodox,1983-10-03,3.73,41,3.42,62,0.71,60,63,0.3,Derrick Noble,27,15,1,175.26,77.11,,Southpaw,1978-08-14,6.21,40,3.79,59,0,0,0,0,Thiago Alves
light heavyweight,0,Submission,1,270,3,Stephan Bonnar,15,9,0,193.04,92.99,200.66,Orthodox,1977-04-04,2.76,38,3.01,52,1.32,40,60,1,James Irvin,17,10,0,187.96,92.99,190.5,Orthodox,1978-09-12,2.03,48,3.86,35,0,0,36,0.5,Stephan Bonnar
middleweight,0,Submission,1,188,3,David Terrell,6,2,0,185.42,83.91,,Southpaw,1978-01-09,2.34,63,2.71,37,5.54,50,0,5.5,Scott Smith,18,11,0,182.88,83.91,177.8,Orthodox,1979-05-21,1.9,27,5.87,50,0.12,6,58,0.5,David Terrell
welterweight,0,Submission,1,260,3,Josh Neer,36,16,1,180.34,77.11,182.88,Orthodox,1983-03-24,3.29,46,3.63,58,1.09,34,46,1.3,Melvin Guillard,32,18,2,175.26,70.31,180.34,Orthodox,1983-03-30,2.96,40,1.85,66,1.3,63,61,0.2,Josh Neer
middleweight,0,KO/TKO,1,104,3,Chris Leben,22,11,0,180.34,83.91,185.42,Southpaw,1980-07-21,2.87,42,2.87,52,1.14,41,53,0.8,Jorge Rivera,20,9,0,185.42,83.91,185.42,Orthodox,1972-02-28,3.16,48,2.64,54,0.84,50,63,0.1,Chris Leben
heavyweight,0,Decision - Unanimous,3,300,3,Tim Sylvia,31,10,0,203.2,120.2,203.2,Orthodox,1976-03-05,4.23,41,2.61,61,0.11,100,75,0.1,Assuerio Silva,16,8,0,177.8,109.32,,Orthodox,1974-06-18,1.42,46,4.2,54,2.66,34,25,1.8,Tim Sylvia
welterweight,0,TKO - Doctor's Stoppage,1,300,3,Spencer Fisher,24,9,0,170.18,70.31,172.72,Southpaw,1976-05-09,3.17,43,3.03,64,0.67,30,60,0.8,Aaron Riley,30,14,1,172.72,70.31,175.26,Southpaw,1980-12-09,3.45,34,3.78,61,1.18,34,60,0.1,Spencer Fisher
welterweight,0,Decision - Unanimous,3,300,3,Diego Sanchez,31,13,0,177.8,77.11,182.88,Southpaw,1981-12-31,2.69,37,3.02,56,1.51,24,46,0.8,Nick Diaz,26,10,0,185.42,77.11,193.04,Southpaw,1983-08-02,5.71,42,3.84,59,1.28,32,60,1,Diego Sanchez
welterweight,0,KO/TKO,1,6,3,Duane Ludwig,21,14,0,177.8,77.11,177.8,Orthodox,1978-08-04,4.62,44,3.05,57,0.43,25,59,0.1,Jonathan Goulet,23,12,0,182.88,77.11,185.42,Orthodox,1979-07-13,1.61,41,2.01,46,4.17,70,45,0.6,Duane Ludwig
welterweight,0,Submission,3,77,3,Jason Von Flue,14,12,1,182.88,77.11,,Orthodox,1975-08-01,1.89,36,3.23,52,0.62,16,58,1.5,Alex Karalexis,10,6,0,172.72,70.31,167.64,Orthodox,1977-09-20,2.57,42,2.39,54,2.7,45,86,0.9,Jason Von Flue
ultimate fighter 2 welterweight tournament,1,Decision - Unanimous,3,300,3,Joe Stevenson,33,16,0,170.18,65.77,177.8,Orthodox,1982-06-15,2.05,44,2.44,60,2.75,44,39,2.2,Luke Cummo,6,6,0,182.88,77.11,187.96,Orthodox,1980-04-27,1.74,43,1.5,59,0.89,55,42,1.4,Joe Stevenson
welterweight,0,KO/TKO,1,21,3,Joshua Burkman,28,16,0,177.8,77.11,182.88,Orthodox,1980-04-10,2.69,43,3.13,51,2.53,36,72,0.3,Sammy Morgan,18,12,0,177.8,77.11,,Orthodox,1981-09-28,1.05,22,3.74,40,1.43,20,0,0.5,Joshua Burkman
welterweight,0,Submission,2,37,3,Kenny Florian,14,6,0,177.8,65.77,187.96,Southpaw,1976-05-26,2.41,40,1.85,63,2.22,33,60,1.3,Kit Cope,6,7,0,182.88,77.11,,Orthodox,1977-03-17,1.18,52,2.12,35,0,0,50,3.5,Kenny Florian
ultimate fighter 2 heavyweight tournament,1,Decision - Split,3,300,3,Rashad Evans,19,8,1,182.88,92.99,190.5,Orthodox,1979-09-25,2.14,37,2.42,63,2.98,44,73,0,Brad Imes,13,7,0,200.66,120.2,,Orthodox,1977-03-13,2.73,31,4.24,49,1.72,71,0,1,Rashad Evans
welterweight,0,TKO - Doctor's Stoppage,2,175,3,Melvin Guillard,32,18,2,175.26,70.31,180.34,Orthodox,1983-03-30,2.96,40,1.85,66,1.3,63,61,0.2,Marcus Davis,22,11,0,177.8,77.11,177.8,Southpaw,1973-08-24,2.72,39,2.79,65,1.6,48,47,1.4,Melvin Guillard
heavyweight,1,KO/TKO,1,15,5,Andrei Arlovski,34,24,0,190.5,108.86,195.58,Orthodox,1979-02-04,3.82,45,3.22,57,0.37,35,76,0.2,Paul Buentello,35,17,0,187.96,111.13,195.58,Orthodox,1974-01-16,3.29,45,3.83,52,0.19,33,39,0.4,Andrei Arlovski
light heavyweight,0,KO/TKO,1,210,3,Forrest Griffin,19,7,0,190.5,92.99,195.58,Orthodox,1979-03-16,4.38,36,2.81,61,1.05,48,57,0.7,Elvis Sinosic,7,11,2,190.5,92.99,195.58,Orthodox,1971-02-13,1.13,37,4.6,53,0,0,0,1.2,Forrest Griffin
heavyweight,0,KO/TKO,2,208,3,Keith Jardine,17,11,2,187.96,83.91,193.04,Orthodox,1975-10-31,3.25,36,2.98,59,1.18,45,62,0.7,Kerry Schall,24,13,0,187.96,120.2,,Orthodox,1971-08-09,0.94,11,4.84,63,0,0,0,0,Keith Jardine
heavyweight,0,KO/TKO,1,254,3,Branden Lee Hinkle,17,11,0,190.5,106.59,,Orthodox,1973-07-29,2.61,69,3.91,26,4.34,57,66,4.3,Sean Gannon,2,1,0,190.5,120.2,,Southpaw,,0,0,6.38,28,0,0,50,0,Branden Lee Hinkle
light heavyweight,0,Submission,2,80,3,Renato Sobral,37,11,0,185.42,92.99,190.5,Orthodox,1975-09-07,2.23,45,1.53,57,2.48,42,65,2.6,Chael Sonnen,29,15,1,185.42,92.99,185.42,Southpaw,1977-04-03,3.08,43,1.1,62,3.81,59,66,0.4,Renato Sobral
welterweight,0,TKO - Doctor's Stoppage,2,120,3,Joe Riggs,44,17,0,182.88,83.91,177.8,Southpaw,1982-09-23,2.41,51,1.69,57,2.45,55,62,0.6,Chris Lytle,31,18,5,180.34,77.11,172.72,Orthodox,1974-08-18,3.76,45,3.03,58,0.7,55,55,2.4,Joe Riggs
middleweight,1,KO/TKO,1,154,5,Rich Franklin,29,7,0,185.42,83.91,193.04,Southpaw,1974-10-05,4.1,44,2.07,62,1.31,66,63,0.7,Nate Quarry,12,4,0,182.88,83.91,182.88,Open Stance,1972-03-18,4.96,44,2.8,66,0.25,33,60,0,Rich Franklin
middleweight,0,Decision - Unanimous,3,300,3,Jorge Rivera,20,9,0,185.42,83.91,185.42,Orthodox,1972-02-28,3.16,48,2.64,54,0.84,50,63,0.1,Dennis Hallman,53,20,2,175.26,70.31,182.88,Orthodox,1975-12-02,1.12,44,1.96,43,1.79,30,25,2.1,Jorge Rivera
heavyweight,0,Submission,2,62,3,Marcio Cruz,8,3,0,193.04,105.23,,Orthodox,1978-04-24,2.92,46,1.51,68,0.53,7,37,1.6,Keigo Kunihara,3,2,0,182.88,106.59,,Orthodox,,0.17,10,1.99,57,4.97,40,100,2.5,Marcio Cruz
light heavyweight,0,Could Not Continue,2,10,3,Alessio Sakara,19,11,0,182.88,83.91,182.88,Orthodox,1981-09-02,3.96,47,2.8,59,2.18,78,62,0,Ron Faircloth,33,20,0,175.26,92.99,,Orthodox,1979-08-16,0.39,40,8.9,42,0,0,0,0,
welterweight,0,Submission,1,208,3,Matt Hughes,45,9,0,175.26,77.11,185.42,Switch,1973-10-13,2.14,53,1.36,53,2.95,50,35,1.2,Joe Riggs,44,17,0,182.88,83.91,177.8,Southpaw,1982-09-23,2.41,51,1.69,57,2.45,55,62,0.6,Matt Hughes
heavyweight,0,KO/TKO,3,279,3,Gabriel Gonzaga,17,11,0,187.96,109.77,193.04,Orthodox,1979-05-18,2.12,45,2.94,57,2.8,39,66,1.1,Kevin Jordan,11,9,0,190.5,111.13,,Orthodox,1970-12-31,2,40,1.91,55,0,0,77,0.6,Gabriel Gonzaga
welterweight,0,KO/TKO,2,173,3,Georges St-Pierre,26,2,0,180.34,83.91,193.04,Orthodox,1981-05-19,3.78,53,1.4,72,4.16,74,83,1.1,Sean Sherk,36,4,1,167.64,70.31,170.18,Orthodox,1973-08-05,2.17,35,2.71,55,4.09,46,56,0.4,Georges St-Pierre
middleweight,0,Decision - Unanimous,3,300,3,Jeremy Horn,91,22,5,185.42,83.91,187.96,Orthodox,1975-08-25,1.19,39,1.99,55,1.83,38,29,1.1,Trevor Prangley,34,11,2,185.42,83.91,190.5,Orthodox,1972-08-24,2.59,60,2.02,48,3.38,55,74,1,Jeremy Horn
welterweight,0,KO/TKO,1,145,3,Thiago Alves,23,15,0,175.26,77.11,177.8,Orthodox,1983-10-03,3.73,41,3.42,62,0.71,60,63,0.3,Ansar Chalangov,14,5,0,175.26,77.11,,Orthodox,1979-10-30,0.68,66,1.69,54,0,0,0,7.6,Thiago Alves
light heavyweight,0,Submission,2,125,3,Sam Hoger,10,4,0,187.96,92.99,,Orthodox,1980-06-28,1.07,25,2.25,57,1.12,38,29,1.3,Jeff Newton,4,2,0,187.96,92.99,,Sideways,1966-12-11,0.28,20,1.41,52,0,0,0,8.5,Sam Hoger
light heavyweight,1,KO/TKO,4,166,5,Chuck Liddell,21,8,0,187.96,92.99,193.04,Orthodox,1969-12-17,2.97,35,2.71,56,0.44,75,81,0,Jeremy Horn,91,22,5,185.42,83.91,187.96,Orthodox,1975-08-25,1.19,39,1.99,55,1.83,38,29,1.1,Chuck Liddell
welterweight,0,Decision - Unanimous,3,300,3,Nick Thompson,38,14,1,185.42,77.11,187.96,Orthodox,1981-06-23,1.87,42,1.8,49,1.06,100,35,2.6,Keith Wisniewski,28,15,1,182.88,77.11,,Orthodox,1981-10-25,2.32,52,4.86,42,1.57,40,78,0.3,Nick Thompson
heavyweight,0,KO/TKO,1,299,3,Tim Sylvia,31,10,0,203.2,120.2,203.2,Orthodox,1976-03-05,4.23,41,2.61,61,0.11,100,75,0.1,Tra Telligman,7,5,1,187.96,105.69,,Orthodox,1965-02-07,1.83,35,3.02,56,0.87,100,80,0,Tim Sylvia
light heavyweight,0,Submission,3,52,3,Randy Couture,19,11,0,185.42,92.99,190.5,Orthodox,1963-06-22,2.85,57,1.53,59,2.78,46,58,0.5,Mike van Arsdale,8,5,0,187.96,92.99,,Switch,1965-06-20,1.52,41,1.91,41,1.06,14,37,0,Randy Couture
welterweight,0,Submission,1,249,3,Georges St-Pierre,26,2,0,180.34,83.91,193.04,Orthodox,1981-05-19,3.78,53,1.4,72,4.16,74,83,1.1,Frank Trigg,21,9,0,175.26,77.11,180.34,Southpaw,1972-05-07,2.79,46,1.9,56,2.35,47,75,0.8,Georges St-Pierre
light heavyweight,0,KO/TKO,2,9,3,James Irvin,17,10,0,187.96,92.99,190.5,Orthodox,1978-09-12,2.03,48,3.86,35,0,0,36,0.5,Terry Martin,23,11,0,172.72,83.91,180.34,Orthodox,1980-10-10,2.82,43,3.13,54,3.1,42,92,0,James Irvin
middleweight,0,Submission,1,206,3,Chris Leben,22,11,0,180.34,83.91,185.42,Southpaw,1980-07-21,2.87,42,2.87,52,1.14,41,53,0.8,Edwin DeWees,38,17,0,185.42,83.91,,Orthodox,1982-08-07,1.53,33,6.19,39,2.18,66,0,3.3,Chris Leben
middleweight,0,Decision - Unanimous,3,300,3,Trevor Prangley,34,11,2,185.42,83.91,190.5,Orthodox,1972-08-24,2.59,60,2.02,48,3.38,55,74,1,Travis Lutter,10,6,0,180.34,83.91,190.5,Orthodox,1973-05-12,0.41,32,2.42,42,1.95,24,30,0.7,Trevor Prangley
welterweight,0,KO/TKO,2,116,3,Diego Sanchez,31,13,0,177.8,77.11,182.88,Southpaw,1981-12-31,2.69,37,3.02,56,1.51,24,46,0.8,Brian Gassaway,29,20,2,185.42,77.11,,Orthodox,1972-08-07,0.34,26,3.65,44,0,0,42,0,Diego Sanchez
middleweight,0,TKO - Doctor's Stoppage,2,255,3,David Loiseau,23,11,0,182.88,83.91,193.04,Orthodox,1979-12-17,1.59,44,3.64,43,0.43,42,36,0.1,Evan Tanner,32,8,0,182.88,83.91,187.96,Orthodox,1971-02-11,3.05,59,2.64,56,2.55,43,25,1.3,David Loiseau
heavyweight,0,KO/TKO,2,202,3,Brandon Vera,15,7,0,190.5,104.33,198.12,Orthodox,1977-10-10,3.03,56,2.81,52,0.7,53,59,0.2,Fabiano Scherner,11,10,0,190.5,116.57,,Orthodox,1972-06-30,1.31,31,3.2,38,1.09,33,40,0,Brandon Vera
welterweight,0,Submission,3,268,3,Drew Fickett,42,21,0,177.8,70.31,177.8,Orthodox,1979-12-14,2.33,41,2.29,57,1.3,35,30,2.2,Josh Koscheck,17,11,0,177.8,77.11,185.42,Orthodox,1977-11-30,1.79,36,2.27,63,2.46,48,64,0.4,Drew Fickett
welterweight,0,Submission,2,283,3,Spencer Fisher,24,9,0,170.18,70.31,172.72,Southpaw,1976-05-09,3.17,43,3.03,64,0.67,30,60,0.8,Thiago Alves,23,15,0,175.26,77.11,177.8,Orthodox,1983-10-03,3.73,41,3.42,62,0.71,60,63,0.3,Spencer Fisher
middleweight,0,Decision - Unanimous,3,300,3,Matt Lindland,22,9,0,182.88,83.91,187.96,Southpaw,1970-05-17,2.62,50,1.56,52,3.01,48,60,1.3,Joe Doerksen,51,16,0,182.88,83.91,190.5,Orthodox,1977-10-09,1.43,42,2.79,50,2.02,33,33,2.3,Matt Lindland
middleweight,0,Decision - Unanimous,3,300,3,Jon Fitch,30,7,1,182.88,77.11,187.96,Orthodox,1978-02-24,2.61,50,1.65,54,3.6,51,56,0.8,Brock Larson,42,10,0,180.34,77.11,180.34,Southpaw,1977-08-23,1.39,46,1.5,55,2.67,34,43,2,Jon Fitch
middleweight,0,Decision - Split,3,300,3,Chris Leben,22,11,0,180.34,83.91,185.42,Southpaw,1980-07-21,2.87,42,2.87,52,1.14,41,53,0.8,Patrick Cote,23,11,0,180.34,77.11,190.5,Orthodox,1980-02-29,2.81,48,3.21,48,0.68,20,43,0.2,Chris Leben
middleweight,0,Decision - Unanimous,3,300,3,Nate Marquardt,35,19,2,182.88,83.91,187.96,Orthodox,1979-04-20,2.71,49,2.32,55,1.87,51,70,0.8,Ivan Salaverry,14,9,0,182.88,83.91,,Orthodox,1971-01-11,3.01,47,1.19,76,0.49,18,36,2.5,Nate Marquardt
welterweight,0,TKO - Doctor's Stoppage,3,65,3,Jonathan Goulet,23,12,0,182.88,77.11,185.42,Orthodox,1979-07-13,1.61,41,2.01,46,4.17,70,45,0.6,Jay Hieron,23,7,0,182.88,77.11,190.5,Orthodox,1976-07-29,1.66,32,1.89,61,4.05,60,66,1,Jonathan Goulet
light heavyweight,0,Decision - Unanimous,3,300,3,Stephan Bonnar,15,9,0,193.04,92.99,200.66,Orthodox,1977-04-04,2.76,38,3.01,52,1.32,40,60,1,Sam Hoger,10,4,0,187.96,92.99,,Orthodox,1980-06-28,1.07,25,2.25,57,1.12,38,29,1.3,Stephan Bonnar
welterweight,0,Submission,1,113,3,Josh Koscheck,17,11,0,177.8,77.11,185.42,Orthodox,1977-11-30,1.79,36,2.27,63,2.46,48,64,0.4,Pete Spratt,25,23,0,175.26,77.11,,Orthodox,1971-01-09,1.63,48,1.33,55,0.3,100,46,0.3,Josh Koscheck
middleweight,0,KO/TKO,1,22,3,Mike Swick,15,6,0,185.42,77.11,195.58,Orthodox,1979-06-19,2.36,37,2.29,54,1.06,50,61,0.6,Gideon Ray,17,15,1,177.8,83.91,,Southpaw,1973-05-27,2.08,40,2.58,53,1.49,100,0,0,Mike Swick
middleweight,0,KO/TKO,1,42,3,Nate Quarry,12,4,0,182.88,83.91,182.88,Open Stance,1972-03-18,4.96,44,2.8,66,0.25,33,60,0,Pete Sell,10,7,0,180.34,77.11,190.5,Orthodox,1982-08-05,2.6,42,3.65,51,0.91,21,47,0.9,Nate Quarry
welterweight,0,Submission,1,95,3,Drew Fickett,42,21,0,177.8,70.31,177.8,Orthodox,1979-12-14,2.33,41,2.29,57,1.3,35,30,2.2,Josh Neer,36,16,1,180.34,77.11,182.88,Orthodox,1983-03-24,3.29,46,3.63,58,1.09,34,46,1.3,Drew Fickett
interim heavyweight,1,KO/TKO,1,250,5,Andrei Arlovski,34,24,0,190.5,108.86,195.58,Orthodox,1979-02-04,3.82,45,3.22,57,0.37,35,76,0.2,Justin Eilers,19,7,1,185.42,106.59,,Orthodox,1978-06-28,2.86,43,5.66,49,0.82,25,50,0,Andrei Arlovski
welterweight,0,TKO - Doctor's Stoppage,2,172,3,Kenny Florian,14,6,0,177.8,65.77,187.96,Southpaw,1976-05-26,2.41,40,1.85,63,2.22,33,60,1.3,Alex Karalexis,10,6,0,172.72,70.31,167.64,Orthodox,1977-09-20,2.57,42,2.39,54,2.7,45,86,0.9,Kenny Florian
